"","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","w11","w22","m1","m2","R1","R2","C1","C2","max.Re.eigen","max.Im.eigen","feas.4sp","steady.4sp","species","mut.suc","p.try","sim.number","sequence"
"1",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.93,1.2,1.2,1.93,0,0,1,1,1.04181273900191,1.04181273900191,0.616203669390593,0.616203669390593,-0.130105278718243,0.850049536417013,1,1,NA,NA,NA,1,1
"2",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.93,1.2,1.2,1.93,0,0,1,1,1.04181273900191,1.04181273900191,0.616203669390593,0.616203669390593,-0.130105278718243,0.850049536417013,1,1,2,0,1,1,2
"3",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.2,1.93,0,0,1,1,1.04166864090841,1.03266528021172,0.613153277224141,0.616324572347714,-0.129314062769935,0.851474925641657,1,1,1,1,1,1,3
"4",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.2,1.93,0,0,1,1,1.04166864090841,1.03266528021172,0.613153277224141,0.616324572347714,-0.129314062769935,0.851474925641657,1,1,2,0,1,1,4
"5",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.21,1.92,0,0,1,1,1.0326641770627,1.03306097900558,0.612992906601643,0.613150829203533,-0.129124434297475,0.85149853419092,1,1,2,1,1,1,5
"6",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.21,1.92,0,0,1,1,1.0326641770627,1.03306097900558,0.612992906601643,0.613150829203533,-0.129124434297475,0.85149853419092,1,1,2,0,1,1,6
"7",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.22,1.91,0,0,1,1,1.02422776140497,1.03305848438698,0.613004728228947,0.60991912130507,-0.128284455979337,0.852919610050465,1,1,2,1,1,1,7
"8",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.23,1.9,0,0,1,1,1.01589179794035,1.03305783212364,0.613004593857233,0.606663971153552,-0.127252532182209,0.854298032103849,1,1,2,1,1,1,8
"9",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.24,1.89,0,0,1,1,1.00764400747151,1.03305785091761,0.613004575441292,0.6033108076014,-0.126172279581604,0.855557710438327,1,1,2,1,1,1,9
"10",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.25,1.88,0,0,1,1,0.999621030523404,1.03305785129014,0.613004576182185,0.60020816752813,-0.125224850134513,0.856965224952112,1,1,2,1,1,1,10
"11",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.25,1.88,0,0,1,1,0.999621030523404,1.03305785129014,0.613004576182185,0.60020816752813,-0.125224850134513,0.856965224952112,1,1,2,0,1,1,11
"12",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.25,1.88,0,0,1,1,0.999621030523404,1.03305785129014,0.613004576182185,0.60020816752813,-0.125224850134513,0.856965224952112,1,1,2,0,1,1,12
"13",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.92,1.21,1.25,1.88,0,0,1,1,0.999621030523404,1.03305785129014,0.613004576182185,0.60020816752813,-0.125224850134513,0.856965224952112,1,1,2,0,1,1,13
"14",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.91,1.22,1.25,1.88,0,0,1,1,1.00000199154004,1.0241893098831,0.609860869308053,0.599986056955419,-0.12499078314284,0.856948585930758,1,1,1,1,1,1,14
"15",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.91,1.22,1.25,1.88,0,0,1,1,1.00000199154004,1.0241893098831,0.609860869308053,0.599986056955419,-0.12499078314284,0.856948585930758,1,1,1,0,1,1,15
"16",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.91,1.22,1.26,1.87,0,0,1,1,0.99163401988938,1.02459232788274,0.609702732664327,0.596953316519819,-0.124205545195123,0.858205052330512,1,1,2,1,1,1,16
"17",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.91,1.22,1.26,1.87,0,0,1,1,0.99163401988938,1.02459232788274,0.609702732664327,0.596953316519819,-0.124205545195123,0.858205052330512,1,1,1,0,1,1,17
"18",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.91,1.22,1.27,1.86,0,0,1,1,0.98381823413967,1.02459070765082,0.609715414485202,0.593727128491543,-0.12319163131551,0.859437834308488,1,1,2,1,1,1,18
"19",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.9,1.23,1.27,1.86,0,0,1,1,0.984263618275701,1.01585190283854,0.606596233872344,0.593638487780539,-0.123020421032036,0.859530605065786,1,1,1,1,1,1,19
"20",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.89,1.24,1.27,1.86,0,0,1,1,0.984252515268645,1.00769459383461,0.603427276696376,0.593651713490842,-0.123031695741471,0.859535443257701,1,1,1,1,1,1,20
"21",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.89,1.24,1.27,1.86,0,0,1,1,0.984252515268645,1.00769459383461,0.603427276696376,0.593651713490842,-0.123031695741471,0.859535443257701,1,1,2,0,1,1,21
"22",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.89,1.24,1.28,1.85,0,0,1,1,0.976118973218478,1.00806237472516,0.603199374184023,0.590654137255182,-0.12227548487891,0.860728475929874,1,1,2,1,1,1,22
"23",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.89,1.24,1.28,1.85,0,0,1,1,0.976118973218478,1.00806237472516,0.603199374184023,0.590654137255182,-0.12227548487891,0.860728475929874,1,1,2,0,1,1,23
"24",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.89,1.24,1.28,1.85,0,0,1,1,0.976118973218478,1.00806237472516,0.603199374184023,0.590654137255182,-0.12227548487891,0.860728475929874,1,1,1,0,1,1,24
"25",1,1,4,4,0.8,0.8,0.8,0.8,0,0,0,0,1.89,1.24,1.28,1.85,0,0,1,1,0.976118973218478,1.00806237472516,0.603199374184023,0.590654137255182,-0.12227548487891,0.860728475929874,1,1,1,0,1,1,25
