"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"18",1.06865,0.62615,1.25375,1.00655,1.14545,1.54235,3.7961,2.8787,0.75692,0.725,0.75012,0.89596,0.22875,0.33545,0.28485,0.57005,2.39437,3.59323,1.81951,0.79303,0.65107,0.42409,0.35303,0.67091,2.60845236785088,2.21490230733492,0.607787143269552,3.91272442446555e-19,0
"19",1.71755,0.57545,1.17305,1.51355,0.59675,1.42355,2.5073,3.9779,0.8882,0.571,0.88892,0.75276,0.19035,0.17695,0.56375,0.59795,3.86233,0.67369,3.14317,0.96229,0.38413,0.46891,0.77729,0.73463,0.14087495258699,1.05273150322901,0.384552422705238,1.53913458179813,1
"20",1.28255,0.94745,1.86545,0.94535,1.89035,0.99425,3.3845,2.4107,0.7254,0.57492,0.7298,0.57748,0.24025,0.37615,0.11275,0.17235,0.84373,2.56363,0.39055,2.27425,0.79345,0.27379,0.08789,0.57263,1.07330091542106,0.101466035186778,9.67173584680602e-06,3.89600066477314,1
"21",1.89875,1.85165,1.15715,1.65485,1.10675,0.80195,4.1681,4.4591,0.6474,0.89004,0.66636,0.8298,0.18325,0.26745,0.44785,0.47345,3.00901,3.65095,3.19777,3.86623,0.44497,0.92629,0.69809,0.42215,0.101835071583636,0.173934774616396,3.19512582428196,2.21247944719759e-272,0
"22",1.77905,1.76075,1.91765,1.64645,1.73105,1.05875,2.6021,4.1525,0.73868,0.87996,0.69012,0.51964,0.37865,0.10915,0.46895,0.12875,3.23287,2.51761,1.52857,2.50357,0.96265,0.97021,0.31289,0.22019,0.894965315314909,0.435390919057007,1.14797258699006,1.16629313442554e-175,0
"23",1.06535,1.62515,1.94225,0.86525,1.48025,1.59425,3.7049,4.3319,0.7098,0.62692,0.76484,0.87932,0.43435,0.35335,0.23455,0.39125,2.85847,1.48333,0.21505,0.60349,0.50851,0.92971,0.59423,0.32117,0.00778201247542516,0.0231698656770171,1.67161300738869,7.98352766939476e-281,0
"24",0.81335,0.62825,1.30175,0.68135,0.93905,1.11425,4.0817,4.3649,0.8022,0.69292,0.533,0.78876,0.40025,0.17965,0.50205,0.31875,0.74311,1.33279,1.90141,1.55041,0.64171,0.47359,0.49757,0.85667,2.81716875567286,1.44494679666462,1.03627332219916e-78,2.62038885304919,0
"25",0.50675,1.75505,0.71735,0.82115,1.41005,1.47995,4.3961,4.0451,0.63084,0.64212,0.76244,0.65996,0.49415,0.53895,0.56085,0.12635,2.45443,3.34753,1.03873,2.55193,0.64153,0.26101,0.37787,0.36221,0.547766741301396,0.492249640763065,2.03395278795852e-169,0.2930742777439,0
"26",1.23035,1.29965,1.46435,0.89135,1.45715,1.90325,3.5381,3.8597,0.5906,0.77732,0.68308,0.62684,0.17555,0.41595,0.12775,0.50955,3.89899,3.22741,2.90137,2.46145,0.72541,0.13231,0.46805,0.94397,NA,NA,NA,NA,0
"27",1.74485,1.16645,1.94165,1.90085,1.92485,0.78815,4.7849,4.3499,0.76436,0.7894,0.69884,0.54732,0.19795,0.32165,0.10865,0.53975,0.17137,3.83893,3.78199,1.35073,0.73063,0.20701,0.39767,0.50945,0.13442509280593,0.147413981714938,1.10261011650503e-41,1.14513956717629,1
"28",0.98825,1.98185,1.00595,1.30295,1.05095,1.89425,3.2393,4.3061,0.75868,0.8474,0.8234,0.86812,0.35155,0.36585,0.21535,0.54675,3.80773,3.18841,0.12691,2.19859,0.73171,0.84025,0.93443,0.27347,0.0146050620398924,1.32209515521597,0.248395406394886,8.24110310062692e-122,0
"29",1.79675,1.62275,0.92405,1.80755,1.98395,0.89555,3.0107,4.6109,0.66796,0.70692,0.56716,0.61068,0.38535,0.13525,0.25245,0.19295,2.59561,3.54955,2.81089,0.60427,0.31681,0.64495,0.57335,0.69629,0.720323895830376,0.329484943231007,2.35323829506481,2.08507366377091e-157,0
