"","r1","r2","K1","K2","e11","e12","e21","e22","m1","m2","a11","a12","a21","a22","w11","w12","w21","w22","h11","h12","h21","h22","R1","R2","C1","C2","max.Re.eigen","max.Im.eigen","feasibility","steady.state","species","mut.suc","p.try","sim.number","sequence"
"1",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.013,1.287,1.287,2.013,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.45061079607797,1.45061079607808,0.739804281292787,0.739804281292677,-0.0221439455710937,0.564084906877618,1,1,NA,NA,NA,1,1
"2",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.013,1.287,1.287,2.013,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.45061079607797,1.45061079607808,0.739804281292787,0.739804281292677,-0.0221439455710937,0.564084906877618,1,1,2,0,1,1,2
"3",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.013,1.287,1.277,2.023,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.45205101228715,1.4481860506821,0.741540357146054,0.737789570198296,-0.0219866405031387,0.564162851411059,1,1,2,1,1,1,3
"4",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.013,1.287,1.277,2.023,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.45205101228715,1.4481860506821,0.741540357146054,0.737789570198296,-0.0219866405031387,0.564162851411059,1,1,2,0,1,1,4
"5",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.023,1.277,1.277,2.023,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.44988882023145,1.45028206950665,0.739724798521967,0.739135756141128,-0.0217902261773666,0.564155364348333,1,1,2,1,1,1,5
"6",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.023,1.277,1.277,2.023,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.44988882023145,1.45028206950665,0.739724798521967,0.739135756141128,-0.0217902261773666,0.564155364348333,1,1,2,0,1,1,6
"7",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.033,1.267,1.277,2.023,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.44804035314533,1.45090171817941,0.736617837521995,0.741829441034384,-0.0216221269711983,0.564221415808426,1,1,2,1,1,1,7
"8",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.043,1.257,1.277,2.023,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.44585980936262,1.45126074533578,0.733635647834326,0.744471126712645,-0.0214744221840635,0.564332928202613,1,1,2,1,1,1,8
"9",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.053,1.247,1.277,2.023,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.44372426122962,1.45172573273033,0.730686684076783,0.746989407861162,-0.0213175524234526,0.564418683564339,1,1,2,1,1,1,9
"10",1,1,4,4,0.8,0.8,0.8,0.8,1,1,2.053,1.247,1.267,2.033,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,1.44302289427001,1.44821683707081,0.733189599267231,0.744194367565182,-0.0212038918559876,0.56467218485924,1,1,1,1,1,1,10
