"","r1","r2","K1","K2","e11","e12","e21","e22","m1","m2","a11","a12","a21","a22","R1","R2","C1","C2","max.Re.eigen","max.Im.eigen","feasibility","steady.state","species","mut.suc","p.try","sim.number","sequence","Model","n","Competitor","Time","w11","w12","w21","w22","h11","h12","h21","h22"
"20",1,1,4,4,0.8,0.8,NA,NA,1,NA,0.97,1.21714910313613,NA,NA,0.941350780191385,1.4419206480388,1.31361268101335,NA,-0.149220857048901,0.817371824266288,1,1,1,0,1,1,555,"LawlorSmith",1.15,"No","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"21",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.568062446778985,0.568062446778985,1.22,1.30289020494486,1.3028902049449,0.702927020677424,0.702927020677416,-0.162949199370454,0.804765267130641,1,1,NA,NA,NA,1,1,"LawlorSmith",0.85,"Yes","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"22",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.92,0.0375761769047443,0.00733561946725539,1.98,1.07132072864758,1.04978202699077,0.634027780249147,0.612668580416438,-0.132106532922954,0.846997149100824,1,1,2,NA,-1,1,788,"LawlorSmith",0.85,"Yes","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"23",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.568062446778985,NA,NA,0.776563987702649,2.99948945268063,1.10066792997166,NA,-0.144032926190579,0.662238053591726,1,1,NA,NA,NA,1,1,"LawlorSmith",0.85,"No","Begin",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"24",1,1,4,4,0.8,0.8,NA,NA,1,NA,0.8,0.970970411925518,NA,NA,1.20023345572598,1.73482225981097,1.45822137357368,NA,-0.181261497125957,0.768507989358396,1,1,1,0,1,1,582,"LawlorSmith",0.85,"No","End",0.6,0.4,0.4,0.6,NA,NA,NA,NA
"25",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.78,0.78,1.22,2.39461065391742,2.39461065391725,0.768704982826314,0.768704982826587,-0.0566080888113863,0.401304331988567,1,1,NA,NA,NA,1,1,"McCann",1,"Yes","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"26",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.89,0.109999999999999,0.00999999999999934,1.99,2.11579164273729,2.09506646984213,0.824689788875265,0.770618954883072,-0.14481081933605,0.568571512439875,1,1,1,NA,-1,1,776,"McCann",1,"Yes","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"27",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.78,NA,NA,2.19090874244065,2.95869154726851,1.40869675602669,NA,-0.225494454007467,0.369848251163881,1,1,NA,NA,NA,1,1,"McCann",1,"No","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"28",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.08,0.92,NA,NA,2.2653488243296,2.78772787404128,1.4620503979851,NA,-0.219692928544517,0.371012651102257,1,1,1,0,1,1,527,"McCann",1,"No","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"29",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.967049179900966,0.967049179900966,1.22,2.23435600136019,2.23435600136018,0.789169278816439,0.789169278816513,-0.0311276035089338,0.438404259940463,1,1,NA,NA,NA,1,1,"McCann",1.15,"Yes","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"30",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.93,0.122118171158278,0.122118171158278,1.93,2.07161847813787,2.07139388212247,0.798824503885711,0.799129786462825,-0.138408228205908,0.536389813455699,1,1,1,0,1,1,9999,"McCann",1.15,"Yes","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"31",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.967049179900966,NA,NA,2.01636066601597,2.63180981985645,1.52033625303215,NA,-0.182471398328109,0.421432381731437,1,1,NA,NA,NA,1,1,"McCann",1.15,"No","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"32",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.14,1.04896305053904,NA,NA,2.07050683754918,2.54509535578534,1.53982038954782,NA,-0.18016284831575,0.422394116650558,1,1,1,0,1,1,520,"McCann",1.15,"No","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"33",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.22,0.568062446778985,0.568062446778985,1.22,2.60631536304754,2.60631536304752,0.726585517022355,0.726585517022369,-0.0994580807818336,0.342432263228075,1,1,NA,NA,NA,1,1,"McCann",0.85,"Yes","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"34",1,1,4,4,0.8,0.8,0.8,0.8,1,1,1.88,0.0606558615130142,0.00733561946725539,1.98,2.15575244979599,2.11544325912207,0.809385562088084,0.782873630139276,-0.150600925271447,0.578296180360456,1,1,2,NA,-1,1,773,"McCann",0.85,"Yes","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"35",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.22,0.568062446778985,NA,NA,2.48542022776159,3.36370905991503,1.18070959476084,NA,-0.281795544278974,0.286951201214449,1,1,NA,NA,NA,1,1,"McCann",0.85,"No","Begin",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
"36",1,1,4,4,0.8,0.8,NA,NA,1,NA,1.08,0.696016171039575,NA,NA,2.5280722005819,3.19961464566314,1.25660410699382,NA,-0.277458029792673,0.277503080892067,1,1,1,0,1,1,9999,"McCann",0.85,"No","End",0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4
