"","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","w11","w22","m1","m2","R1","R2","C1","C2","max.Re.eigen","max.Im.eigen","feas.4sp","steady.4sp","species","mut.suc","p.try","sim.number","sequence"
"1",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.93,1.2,1.2,1.93,0.6,0.6,1,1,1.52687353309832,1.52687353309831,0.755069879678246,0.755069879678235,-0.0361540929503412,0.554811870385205,1,1,NA,NA,NA,1,1
"2",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.94,1.19,1.2,1.93,0.6,0.6,1,1,1.5231543751106,1.52634335052299,0.752265413364392,0.757602802221682,-0.0360076229628447,0.555075624705195,1,1,1,1,1,1,2
"3",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.95,1.18,1.2,1.93,0.6,0.6,1,1,1.52068401803365,1.52764417340305,0.749968037059747,0.759745611946664,-0.035853766143679,0.55518787278456,1,1,1,1,1,1,3
"4",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.96,1.17,1.2,1.93,0.6,0.6,1,1,1.51813740666807,1.52789911026771,0.746825080068915,0.762382139745198,-0.0356753664547217,0.555299473712333,1,1,1,1,1,1,4
"5",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.97,1.16,1.2,1.93,0.6,0.6,1,1,1.5160308060419,1.52860643879368,0.743833016215135,0.765085748083068,-0.035515528481549,0.555399623270256,1,1,1,1,1,1,5
"6",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.97,1.16,1.2,1.93,0.6,0.6,1,1,1.5160308060419,1.52860643879368,0.743833016215135,0.765085748083068,-0.035515528481549,0.555399623270256,1,1,1,0,1,1,6
"7",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.98,1.15,1.2,1.93,0.6,0.6,1,1,1.5137453537375,1.52905808361691,0.74085750622358,0.767846936897119,-0.0353697843221355,0.555536691877808,1,1,1,1,1,1,7
"8",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.99,1.14,1.2,1.93,0.6,0.6,1,1,1.51153312035901,1.52945769966031,0.737721570943591,0.770548965111654,-0.0352041433170499,0.555632883061303,1,1,1,1,1,1,8
"9",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1.99,1.14,1.2,1.93,0.6,0.6,1,1,1.51153312035901,1.52945769966031,0.737721570943591,0.770548965111654,-0.0352041433170499,0.555632883061303,1,1,1,0,1,1,9
"10",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2,1.13,1.2,1.93,0.6,0.6,1,1,1.50947930240638,1.52998766937416,0.734647144273119,0.77328405414151,-0.0350487725015941,0.555729326372218,1,1,1,1,1,1,10
