"","R1_0","R2_0","C1_0","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","steady"
"34",1.9415,0.6815,1.0175,0.9065,1.8965,3.401,3.233,0.862,0.8444,0.1775,0.4365,1.7887,2.0851,0.2773,0.4667,0,0,0.180268674172454,1
"35",1.0925,1.2155,1.0565,1.7495,1.2935,3.773,3.173,0.686,0.5204,0.3115,0.2425,1.4689,3.1225,0.4933,0.7061,0,0,0,1
"36",1.2965,1.9025,0.9395,0.5465,0.8885,3.491,2.531,0.826,0.6052,0.4805,0.2035,1.4767,1.2583,0.3349,0.4739,0,0,5.26266679315202,1
"37",0.6065,1.2515,1.1435,0.5405,1.8455,2.375,4.373,0.8556,0.5756,0.1985,0.1465,3.0211,3.0133,0.1657,0.7475,0,0,1.25985956985403,1
"38",0.9995,0.8375,1.8185,1.6115,0.8855,2.669,3.077,0.5844,0.866,0.2595,0.1815,0.2599,0.1507,0.9289,0.5207,2.66900016536066,0,0,1
"39",1.2395,0.8435,0.6395,0.6845,0.6455,3.515,3.017,0.6252,0.8276,0.5645,0.1695,3.5125,1.6561,0.9667,0.8681,3.4619396489832,0,0.0231347860780361,1
"40",1.6835,1.9625,1.8575,1.2605,1.4945,2.435,4.511,0.67,0.502,0.2225,0.4255,1.5937,0.1663,0.5779,0.1193,2.435,4.5110000013294,0,1
"41",0.6245,0.9605,0.8735,0.7295,0.9215,3.119,2.471,0.674,0.5876,0.3335,0.5485,2.1865,3.6139,0.3943,0.8159,0.177400148879241,0.506511252958428,0.761620541950463,1
"42",1.3535,0.5765,1.0625,1.3385,1.8335,4.619,3.833,0.5308,0.674,0.1415,0.5665,2.3971,3.1771,0.4285,0.8843,0.380200234330386,0,0.578503233840864,1
"43",0.8015,1.3745,1.9865,1.3535,0.5645,3.041,4.901,0.8588,0.6196,0.1305,0.3455,2.6155,0.4159,0.2071,0.6395,0,0,0,1
"44",1.8005,1.3925,0.7535,1.8005,1.2095,4.613,2.303,0.8844,0.6332,0.2205,0.2945,1.8199,1.6093,0.8893,0.2975,0,0,2.05303988701992,1
