"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"20",1.98275,0.68825,1.29125,0.69875,1.00925,0.85325,2.1185,3.3275,0.6558,0.6742,0.7454,0.8462,0.37475,0.45275,0.16375,0.17925,0.22675,2.94895,2.76565,1.24465,0.81145,0.52705,0.15575,0.71015,0.464866083778323,0.401533287390195,2.19072495221732e-42,1.00167517320767,1
"21",0.54425,0.66275,0.59075,1.47425,1.93625,1.16075,2.6465,3.2705,0.7618,0.7766,0.7142,0.7938,0.23175,0.18375,0.30575,0.54725,0.83125,3.26485,0.53485,2.83195,0.47485,0.32365,0.20075,0.61565,1.02964283887378,0.065016759716089,1.95960243287917,0.16010095709315,0
"22",1.96625,0.78875,0.62975,1.18925,0.82625,1.39775,4.6535,3.6785,0.6418,0.529,0.519,0.8942,0.49575,0.32425,0.46625,0.52275,1.50985,3.74845,3.73675,3.35455,0.23185,0.34345,0.51215,0.44375,0.0680137571312596,0.182468558780242,0.160677716455641,6.42150441506522e-26,0
"23",0.53825,1.39025,0.83375,0.91325,0.67175,0.76175,3.1265,4.5395,0.647,0.591,0.507,0.7094,0.16125,0.22775,0.13975,0.41425,3.53395,1.90375,1.75945,1.43965,0.58015,0.33715,0.73265,0.83975,0.435421147486779,0.501650234042932,0.00510946484108122,0.0628875860945849,0
"24",1.71125,0.71075,1.86875,0.66875,1.18175,1.50275,2.4605,4.4015,0.6542,0.5482,0.7538,0.5566,0.47325,0.23425,0.43525,0.47325,0.33205,2.42245,0.32815,0.56215,0.88345,0.91765,0.05405,0.68765,2.42315432040723,1.16805707518209,0.832361893221776,6.32310271858186e-49,1
"25",1.01675,1.07975,1.11725,1.12325,0.96125,1.02425,3.8795,2.0825,0.7838,0.6318,0.8906,0.7466,0.32125,0.39875,0.30125,0.23225,0.10195,3.20635,3.08935,0.86635,0.86905,0.26875,0.62825,0.16745,0.0396455158109614,0.55502375004399,7.71949138431141e-17,1.28341797490169,1
"26",1.20425,1.22225,0.86375,1.78475,0.91025,1.07525,4.9835,2.3885,0.5554,0.8294,0.8698,0.8278,0.15375,0.54175,0.55775,0.28875,3.86935,0.30475,0.49585,0.63235,0.43525,0.38395,0.74165,0.50135,0.361503642194125,1.04841545344997,0.432283690482332,1.3589954269259,1
"27",1.26425,1.87025,1.50425,1.79675,1.09325,1.90475,4.4435,3.8075,0.5446,0.5738,0.7742,0.8714,0.50875,0.55475,0.47925,0.57475,0.92875,2.81245,1.10035,3.68995,0.57025,0.82945,0.53015,0.32855,1.07025522989215,1.52822647068783,2.42136558733888e-12,0.983737815242587,0
"28",1.12925,0.89525,1.74275,1.98275,0.86375,1.13075,3.2615,4.7735,0.857,0.837,0.5858,0.6814,0.16225,0.31075,0.37575,0.29275,2.51215,0.50755,1.57225,0.90145,0.45235,0.34525,0.92255,0.68945,0.250899847406737,0.702582900808898,0.284128506289409,1.40881113924004,0
"29",0.77375,0.59075,1.69625,0.83975,0.90425,0.58925,2.3105,3.6695,0.847,0.6666,0.6754,0.787,0.46175,0.40575,0.14275,0.43375,2.08705,1.33435,0.47635,1.90765,0.29845,0.73045,0.33575,0.91085,0.3280668188969,0.186432318999338,0.944117929965271,2.86853914149373e-212,0
