"","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","root.time","sim.length","R1","R2","C1","C2"
"1",4.65427125897259,2.59464505407959,6.90120592899621,8.23333912715316,0.673046601563692,0.727905097790062,0,0,0.219285186287016,0.511294190678745,0,0,1.95256096404046,1.83547071367502,0,0,0.718985467148013,0,0.743133952678181,0,2000,2000,0.00133103362593258,0.00193612515061525,2.34155384844798,0
"2",4.53159686177969,1.31794770527631,7.92330541647971,3.59340209513903,0.639799510873854,0.598534941766411,0,0,0.296564773912542,0.273760827980004,0,0,2.60145466215909,4.57867199555039,0,0,0.451931758457795,0,0.694476416148245,0,NA,2000,NA,NA,NA,NA
"3",2.70792643260211,2.58485192712396,2.58856518939137,8.75494134612381,0.782058583665639,0.631897976621985,0,0,0.329544434114359,0.552990392572246,0,0,3.1397931817919,2.35324014723301,0,0,0.264802304655314,0,0.766397187951952,0,NA,2000,NA,NA,NA,NA
"4",1.28676170483232,3.90549307502806,3.75198477506638,2.88315271399915,0.63671318590641,0.548071705549955,0,0,0.574197371047921,0.503009799658321,0,0,4.78604761138558,4.02910090703517,0,0,0.694060327205807,0,0.537779648439027,0,2000,2000,0.307548311715443,0.713159641796561,3.44316616919464,0
"5",2.90268249250948,3.02439437992871,5.83788486197591,5.85330046713352,0.595590969454497,0.527833291236311,0,0,0.464900275948457,0.377747528394684,0,0,2.87748082727194,2.49325181916356,0,0,0.539374009682797,0,0.560959174274467,0,2000,2000,0.00662024763759818,0.0114916934033852,0.302571853020537,0
"6",2.25217538885772,2.48195895552635,2.20032156072557,4.69349619187415,0.808669270947576,0.573541050963104,0,0,0.447307511139661,0.572409761045128,0,0,2.20414324197918,3.85227425396442,0,0,0.949302161345258,0,0.743417451274581,0,157,2000,1.59639770092977,3.25552128256653,2.33628190530859,0
"7",1.36639977246523,2.18925047572702,2.12672541663051,2.65790324658155,0.78113134521991,0.612987208645791,0,0,0.456940941652283,0.118534405739047,0,0,2.40197724569589,2.48222619667649,0,0,0.158314260747284,0,0.0607920745853335,0,NA,2000,NA,NA,NA,NA
"8",3.51909060962498,4.51303342543542,7.90113505162299,2.58320339210331,0.745886816829443,0.516874639689922,0,0,0.247536060656421,0.37875993528869,0,0,3.42622557189316,3.31267287116498,0,0,0.244506766228005,0,0.872751577803865,0,NA,2000,NA,NA,NA,NA
"9",3.84951698035002,1.5962182842195,7.24097823537886,5.51210669241846,0.811975894495845,0.532225682027638,0,0,0.51419256653171,0.261631785449572,0,0,1.24257702101022,4.58321693260223,0,0,0.657428772980347,0,0.931052742246538,0,2000,2000,6.18061692588813,3.27427622480024,2.78020728619732,0
"10",3.02964259590954,2.46742922347039,7.48744595423341,6.90215357020497,0.737897111102939,0.861963321547955,0,0,0.534918381739408,0.269627961120568,0,0,3.70597355253994,4.490363326855,0,0,0.662286376720294,0,0.257250257628038,0,NA,2000,NA,NA,NA,NA
"11",1.44689555093646,1.83734375145286,6.7350907176733,6.6630911771208,0.649816199485213,0.616453870106488,0,0,0.36389898720663,0.362391508091241,0,0,2.66132192872465,2.62298101838678,0,0,0.844244771264493,0,0.317341729742475,0,2000,2000,0.0796304556797237,0.081042959718735,0.111824669841992,0
"12",1.56820872519165,4.09701483417302,3.99499296396971,5.01296373829246,0.892541487235576,0.511092212609947,0,0,0.49496962109115,0.461940734437667,0,0,4.79624520801008,3.29762051906437,0,0,0.995897928648628,0,0.13033478227444,0,868,2000,2.43860366034715,2.08325234927983,3.89515143335166,0
"13",3.5937977116555,2.12501155864447,2.65925774537027,5.95851580798626,0.830718495789915,0.693368850369006,0,0,0.147740149893798,0.554133750987239,0,0,1.90731065440923,2.61198817193508,0,0,0.526915501267649,0,0.700794913317077,0,2000,2000,0.0125251989667725,0.0151961285458543,3.59628315635892,0
"14",1.68781604245305,2.83033161330968,2.58969652839005,6.68320548161864,0.649801497813314,0.734313701465726,0,0,0.111017363285646,0.575039673503488,0,0,2.12425980065018,1.16946191620082,0,0,0.105229889950715,0,0.208910533320159,0,NA,2000,NA,NA,NA,NA
"15",4.61691285576671,4.99788026791066,9.46409831941128,4.29845478385687,0.815970554016531,0.846456489060074,0,0,0.103667690558359,0.537663986580446,0,0,2.25253393035382,3.90863571874797,0,0,0.70968140878249,0,0.794514166889712,0,NA,2000,NA,NA,NA,NA
"16",4.25681340321898,2.52279331628233,3.94718162529171,5.34695827774704,0.767843470815569,0.848881094530225,0,0,0.407958237128332,0.248744341684505,0,0,2.88086484745145,2.32546408195049,0,0,0.625525288772769,0,0.228615621151403,0,2000,2000,0.036181102490479,0.0108262528820702,6.16215201892786,0
"17",2.51160325016826,2.5324705671519,7.77682464011014,2.86130624637008,0.78784747403115,0.896538971923292,0,0,0.589430270623416,0.46700191302225,0,0,4.04707887768745,3.09959861170501,0,0,0.811308098677546,0,0.36328897641506,0,2000,2000,6.05458678241797,2.51086650024049,3.32065092342896,0
"18",1.46090980619192,3.98859363980591,6.19317644461989,8.38341463170946,0.526822944451123,0.654452416766435,0,0,0.424428527499549,0.434923723363318,0,0,4.20260386262089,3.26427846588194,0,0,0.794755418645218,0,0.176015831436962,0,2000,2000,5.41469741569842e-05,0.00147452553739648,0.147466732622664,0
"19",2.55809171870351,2.13003257289529,3.01096207275987,2.70989977568388,0.795489713177085,0.891803927533328,0,0,0.396971124713309,0.319317179522477,0,0,3.37380735483021,3.83158497791737,0,0,0.734146087407134,0,0.521858747443184,0,2000,2000,1.36451376059074,1.20261140095797,3.76680156102364,0
"20",4.15828527882695,2.14912444725633,3.01348513364792,3.47803624905646,0.635741494502872,0.533288427442312,0,0,0.218591350619681,0.175440871994942,0,0,2.82801682315767,4.2499035038054,0,0,0.577129430440255,0,0.0772104966454208,0,297,2000,0.558073271424971,0.0195977306589291,2.12159786730453,0
"21",2.72105795703828,2.521643942222,3.45681459270418,7.81915803998709,0.505230333283544,0.829355389904231,0,0,0.285297822579741,0.433333144080825,0,0,2.50356525275856,2.44765200372785,0,0,0.607675019092858,0,0.0989378097699955,0,2000,2000,0.000524873265203295,5.55996222424955e-05,2.32451475729524,0
"22",2.0461589442566,2.22236937843263,8.21209145151079,9.14350186474621,0.756908414047211,0.661713158525526,0,0,0.498473172681406,0.124856530595571,0,0,2.93459329754114,2.9416631963104,0,0,0.994609448872507,0,0.576769436453469,0,2000,2000,7.21208072756407,8.77550765572073,0.154995957659501,0
"23",3.4083863850683,3.54636127594858,9.3186356741935,5.55469707027078,0.516062532737851,0.876233465131372,0,0,0.407691499125212,0.188148177950643,0,0,2.64891934860498,4.16025038249791,0,0,0.96134047259111,0,0.0944346561795101,0,2000,2000,7.62481702761133,2.18412109219242,0.359959587982879,0
"24",2.79042579885572,1.79028754495084,5.83927785232663,7.91971803829074,0.581431255117059,0.745618412643671,0,0,0.461631536041386,0.216214485140517,0,0,1.26725943572819,3.42317708954215,0,0,0.106638435670175,0,0.835244129574858,0,NA,2000,NA,NA,NA,NA
"25",3.08643312938511,4.39278530143201,5.82518567703664,6.47934902645648,0.732492564152926,0.525318307802081,0,0,0.117925137421116,0.302226147521287,0,0,3.16617803275585,4.76358449365944,0,0,0.97353382515721,0,0.159147187601775,0,2000,2000,5.62013557651639,6.29471901908088,0.289002761168288,0
"26",3.03544421307743,4.20932526607066,9.707743588835,6.08310318551958,0.663143565040082,0.862131974473596,0,0,0.417472139955498,0.211619670060463,0,0,3.86182643845677,3.45299375988543,0,0,0.668212637701072,0,0.907252384768799,0,NA,2000,NA,NA,NA,NA
"27",2.15138261485845,3.45698165986687,5.04600238054991,5.40054066851735,0.704912383574992,0.617542528733611,0,0,0.173419299675152,0.116728719696403,0,0,4.64309846237302,2.86722773779184,0,0,0.747221707366407,0,0.509976183064282,0,2000,2000,0.0130306274204855,0.0343505094505018,1.392686881676,0
"28",1.53943085297942,1.70890305005014,8.9431140255183,3.28284476697445,0.673952637147158,0.759356590826064,0,0,0.216657575825229,0.140788539103232,0,0,2.91084906831384,3.8553597535938,0,0,0.918814454553649,0,0.180461421469226,0,2000,2000,0.0085874182243589,0.00146232229785538,3.90288106573729,0
